index,geometry
0,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
1,"POLYGON ((-8236120.046929544 4975349.758897243, -8236145.36098175 4975363.806468019, -8236127.483071529 4975396.838910679, -8236114.280579922 4975387.699140014, -8236112.866822389 4975388.85997858, -8236110.529113081 4975388.8893669, -8236101.122616109 4975383.643553196, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243))"
